nabci_id,name,description,jvs_in_bcr
56,Planicie Noroccidental de Yucatán,"This BCR covers most of the Yucatan Peninsula, including parts of Campeche and Quintana Roo and all of Yucatán. Calakmul is an IBA and biosphere reserve located at the highest elevations of the Campeche Plains. There are no major watercourses in the area, but rather surface pools, locally known as “aguadas,” where water collects in natural depressions. Tropical semi-deciduous and deciduous forests, tropical rainforest, and aquatic vegetation predominate. This is the largest reserve in the Mexican tropics, sheltering an avifauna that includes 118 protected species and nine that are endemic to the region. Important among these are Harpy Eagle, King Vulture, Emerald Toucanet, Wood Stork, Jabiru, Muscovy Duck, Masked Duck, and Spectacled Owl. Mesoamerican endemics include Ocellated Turkey, Yellow-lored Parrot, Rose-throated Tanager, Red-vented Woodpecker, Orange Oriole, Yucatan Flycatcher, Yucatan Jay, and Yucatan Poorwill. Sierra de Ticul–Punto Put is an IBA at the point of convergence of the states of Campeche, Yucatán, and Quintana Roo. It is adjacent to Calakmul and has similar vegetation. Additional important species in this IBA include Common Black-Hawk, Great Curassow, Crested Guan, Yellow-headed Vulture, Bat Falcon, Limpkin, and wintering Hooded and Swainson’s Warblers. Sian Ka’an IBA is also a biosphere reserve. It is located in coastal Quintana Roo and features a wide variety of habitat types, including tropical rainforest sloping down to the sea, flooded rainforests, freshwater and brackish swamps, coastal lagoons, and keys. Additional important species here include Rose-throated Tanager and Buff-bellied Hummingbird. This BCR also includes the Ría Lagartos Biosphere Reserve, where nesting Greater Flamingos are found.",NA
57,Isla Cozumel,"Isla Cozumel is located 17.5 kilometers off the northeastern coast of the Yucatan Peninsula. This large, flat island is affected by hurricanes at a frequency of one every 6.2 years. The habitats are those of tropical rainforest, tropical deciduous forest, mangrove swamp, bulrushes, and coastal dunes. Early successional vegetation is found in areas of human disturbance or in those areas recently affected by hurricanes. Most of the island area is uninhabited. Most agricultural and livestock activities are restricted to small areas, and a large part of the island is a reserve. The avifauna has a distinctive Caribbean influence, as evidenced by Stripe-headed Tanagers, White-crowned Pigeons, and wintering Palm and Black-throated Blue Warblers. Endemic birds include the Cozumel Thrasher, Cozumel Vireo, and Cozumel Wren; endemic subspecies include Great Curassow and Black Catbird. Other important species are Roseate Spoonbill, Osprey, Greater Flamingo, Reddish Egret, Blue-winged Teal, Masked Duck, Merlin, Peregrine Falcon, Least Tern, Yellow-lored Parrot, and wintering Hooded Warbler.",NA
58,Altos de Chiapas,"The highlands of central Chiapas run parallel to the Pacific Coast and extend to the lowlands of Selva Lacandona in a series of deep folds known as “cañadas.” Cerro Saybal–Cerro Cavahlná is a mountainous IBA in the northern part of this BCR that is covered with cloud and pine-oak-liquidambar forests. Important birds noted here include Highland Guan, Singing Quail, Blue-throated Motmot, Azure-hooded Jay, and Wine-throated Hummingbird. Cerro Blanco, la Yerbabuena y Jotolchén is an IBA with vegetation similar to that in the area known as Selva Negra. Birds at this IBA include Resplendent Quetzal, Bluethroated Motmot, Black-throated Jay, Slaty Finch, and wintering Golden-cheeked Warbler. Cerros de San Cristóbal de las Casas IBA consists of pine-oak, oak, and cloud forests, and early successional vegetation. Additional birds here include Belted Flycatcher, Blackcapped Siskin, White-throated Hummingbird, Slender Sheartail, and Emerald-chinned Hummingbird. Lagos de Montebello IBA in central Chiapas is dominated by pine-oak-liquidambar forest, with some patches of cloud forest in humid portions. Limpkin, White-crowned Parrot, Emerald Toucanet, and White-breasted Hawk are threatened or restricted-distribution birds found in this IBA.",NA
59,Depresiones Intermontanas,"This BCR is a lowland corridor about 250 kilometers long and 75 kilometers wide that is bound on its two sides by the mountain ranges of Chiapas. Vegetation includes that of cloud forests, tropical rainforests, and tropical deciduous forests. The Zapotal–Mactumatza IBA includes priority species, such as Plain Chachalaca, Crested Guan, Great Curassow, Northern Bobwhite, Gray-necked Wood-Rail, Red-billed Pigeon, White-tipped Dove, Green Parakeet, Orangefronted Parakeet, Mangrove Cuckoo, Squirrel Cuckoo, Lesser Ground-Cuckoo, Lesser Roadrunner, Tawny-collared Nightjar, Great Potoo, White-collared Swift, Vaux’s Swift, Lesser Swallow-tailed Swift, White-throated Swift, Fork-tailed Emerald, Berylline Hummingbird, White-bellied Emerald, Plain-capped Starthroat, Violaceus Trogon, Collared Aracari, Yellow-bellied Sapsucker, Northern Bentbill, Yellow-olive Flycatcher, Belted Flycatcher, Sulphur-bellied Flycatcher, Gray-breasted Martín, Spotted-breasted Wren, Banded Wren, Plain Wren, Solitary Vireo, Lesser Greenlet, Fan-tailed Warbler, and wintering Western Tanager and Townsend’s, Chestnutsided, Magnolia, and Black-and-white Warblers. The IBA Corredor Laguna Bélgica-Sierra Limón-Cañón Sumidero consists of cloud forest, tropical rainforest, and tropical deciduous forest. A total of 215 bird species have been reported in this IBA. Threatened species include Highland Guan, Crested Owl, Emerald Toucanet, Keel-billed Toucan, Nava’s Wren, and wintering Golden-cheeked Warbler.",NA
60,Madre de Chiapas,"This BCR, on the Pacific coast of Chiapas, contains Mexico’s oldest mountain range. A 4,026-meter volcano on the Mexico-Guatemala border defines the El Tacaná IBA. It is vegetated by cloud forest and scrubland. Important species include Bar-winged Oriole, Mountain Robin, Pink-headed Warbler, Resplendent Quetzal, Unspotted Saw-whet Owl, White-throated Swift, Lesser Swallow-tailed Swift, Greater Swallow-tailed Swift, Rufous Sabrewing, Violet Sabrewing, Green Violet-ear, Emerald-chinned Hummingbird, Mountain Trogon, Collared Trogon, Slaty-tailed Trogon, Blue-throated Motmot, Barred Antshrike, Eye-ringed Flatbill, Orange-billed Nightingale-Thrush, Ruddy-capped Nightingale-Thrush, Spotted Nightingale-Thrush, Crescent-chested Warbler, and wintering Wood Thrush and Townsend’s and Hermit Warblers. La Sepultura IBA is considered a transitional zone between the Neartic and Neotropical Regions and a Pleistocenic haven. There are nine vegetation types with many endemic and rare plant species. Endemic bird species include Rose-bellied Bunting and Giant Wren. Threatened birds include Resplendent Quetzal, Rose-bellied Bunting, King Vulture, Solitary Eagle, Whitecrowned Parrot, and wintering Golden-cheeked Warbler. El Triunfo Biosphere Reserve is also designated an IBA, which is covered with cloud forest, tropical deciduous forest, coniferous forest, a relict oak forest on a small crest, grassland, and agricultural land. Three hundred ninety birds have been counted in this area, including Azure-rumped Tanager, Horned Guan, Resplendent Quetzal, Wine-throated Hummingbird, and Highland Guan.",NA
61,Planicie Costera del Soconusco,"This BCR on the Pacific coast of Chiapas encompasses La Encrucijada, a biosphere reserve and an IBA. It has two large wetlands formed by rivers, lagoons, and estuaries. Vegetation includes tropical deciduous and subdeciduous forests, various wetland types, dunes, coastal scrublands, and the tallest mangroves in Mesoamerica. This is one of the most important systems of tropical wetlands on the Pacific Coast of North America and is the habitat of many rare, threatened, and endangered species. Birds of priority are the Magnificent Frigatebird; Wood Stork; Plain, West-Mexican, and White-bellied Chachalaca; 15 raptor species, including Snail Kite, Common Black-Hawk, Crane Hawk, Black-collared Hawk, Grayheaded Kite, and Peregrine Falcon; 13 duck species, including Muscovy Duck, Blue-winged Teal, and Redhead; 15 heron and egret species, including the Boat-billed Heron and Roseate Spoonbill; 20 shorebird and wading bird species, including Sungrebe, Limpkin, Snowy Plover, Black-bellied Plover, Wilson’s Plover, American Avocet, Northern Jacana, Greater Yellowlegs, Solitary Sandpiper, Whimbrel, Sanderling, and Western Sandpiper; and parakeets and parrots, including Green Parakeet, Orange-fronted Parakeet, Orange-chinned Parakeet, White-fronted Parrot, and Yellow-headed Parrot. Other important species include Giant Wren, Rufous-naped Wren, Mangrove Vireo, Bell’s Vireo, Magnolia Warbler, American Redstart, Ovenbird, Northern Waterthrush, Yellow-breasted Chat, Indigo Bunting, and Painted Bunting.",NA
62,Archipiélago de Revillagigedo,"The Islas Revillagigedo off the Pacific coast of Colima is the most remote archipelago of Mexico. Four volcanic islands—Socorro, Clarión, San Benedicto, and Roca Partida—have a combined surface area of almost 40,000 hectares. Clarión and Socorro stand out for their wealth of endemic flora and fauna. Vegetation on Isla Socorro consists of Croton scrub, Ficus cotinifolia forest, and pine forest, with associated elements of cloud forest. Clarión is primarily scrub and scrub forest, while San Benedicto Island is covered by volcanic ash and plants that are recolonizing after a major eruption that took place in August 1952. Roca Partida Island is a rock island without vegetation. Endemic species include Townsend’s Shearwater, Socorro Mockingbird, Socorro Parakeet, Socorro Dove, Clarion Wren, Socorro Wren, and Socorro Towhee.",NA
63,Isla Guadalupe,"Isla Guadalupe is part of a volcanic archipelago located off the coast of Baja California. Its geomorphology is marked by steep slopes linked with a mountainous topography, with elevations up to 1,400 meters. Vegetation is xerophytic scrubland (matorral) and forests of an endemic cypress associated with pine and oak. Endemic birds include the Guadalupe Junco, Guadalupe Storm-Petrel, and subspecies of American Kestrel and Rock Wren. Other important species include Laysan Albatross (which breeds here), Red-billed Tropicbird, Heermann’s Gull, Cassin’s Auklet, and Burrowing Owl. Extinct forms are the endemic subspecies of Crested Caracara, Bewick’s Wren, Spotted Towhee, and probably Guadalupe Storm-Petrel.",NA
64,Arrecife Alacranes,"Arrecife Alacranes is located in the Gulf of Mexico northwest from the Yucatan Peninsula. It is a protected area of 88,084 hectares, including five islets (Isla Desertora, Isla Pájaros, Isla Desterrada, Isla Chica, and Isla Pérez) and the waters surrounding them. Vegetation consists basically of dunes and scrub habitat. This BCR is the most important breeding site in the Gulf of Mexico for Sooty Tern, and an important breeding area for Brown Noddy and Masked and Brown Boobies. Many birds migrating across the gulf stop here in fall and spring.",NA
65,Los Tuxtlas,"This region on the coast of central Veracruz is a biosphere reserve that includes Volcán de San Martín Tuxtla and the Sierra de Santa Martha. Vegetation is that of tropical rainforest, cloud and pine forests, early successional growth, grassland, coastal dune, and mangrove. Five hundred sixty-four bird species have been reported in Los Tuxtlas, including two species found only in this area: the Long-tailed Sabrewing and Tuxtla Quail-Dove. Other important resident species include Agami Heron, Crested Guan, Orange-breasted Falcon, Black Robin, White-throated Robin, Mangrove Vireo, and Rufous-browed Peppershrike. High priority wintering birds include Wood Thrush, Yellow-throated Vireo, Northern Parula, Magnolia Warbler, Black-throated Green Warbler, Yellow-throated Warbler, Worm-eating Warbler, Ovenbird, Northern Waterthrush, Louisiana Waterthrush, Kentucky Warbler, and Hooded Warbler.",NA
66,Pantanos de Centla–Laguna de Términos,"This BCR includes two IBAs and encompasses part of a biosphere reserve and a Ramsar site (Pantanos de Centla). Located in the Delta of Usumacinta–Grijalva Rivers, the area is a complex hydrological system of rivers, lagoons, swamps, and salt marshes. Habitats are tropical rainforest, bloodwood tree woodland, mangrove swamp, rosewood scrub, and palmetto grove. Some of the important birds here include Jabiru, Wood Stork, Yellow-headed Vulture, Common Black-Hawk, Great Black-Hawk, Muscovy Duck, Northern Pintail, Blue-winged Teal, Roadside Hawk, Bat Falcon, Limpkin, White-crowned Parrot, Ferruginous Pygmy-Owl, Hooded Warbler, Hooded Oriole, Orange Oriole, and Snail Kite.",NA
67,Hawaii – BCR 67 (not shown),,Gulf Coast
